,filename,number_of_records,outliers_trip_times,outliers_trip_distance,outliers_speed,outliers_fare,total_outliers,fraction_of_data_remaining,file_name
0,,7696617,94303,63527,64065,8793,120522,0.9843,yellow_tripdata_2019-01.csv
1,,7049370,84181,58190,57684,11258,110718,0.9843,yellow_tripdata_2019-02.csv
2,,7866620,93491,63976,65041,13582,124962,0.9841,yellow_tripdata_2019-03.csv
3,,7475949,86372,60914,59968,13598,116880,0.9844,yellow_tripdata_2019-04.csv
4,,7598445,93900,66616,66416,15371,126993,0.9833,yellow_tripdata_2019-05.csv
5,,6971560,92911,72760,72691,15958,130592,0.9813,yellow_tripdata_2019-06.csv
6,,6310419,86745,77556,75778,14912,130352,0.9793,yellow_tripdata_2019-07.csv
7,,6073357,84731,79172,77435,16503,132264,0.9782,yellow_tripdata_2019-08.csv
8,,6567788,87165,81323,80165,17568,136824,0.9792,yellow_tripdata_2019-09.csv
9,,7213891,91239,80201,79127,19978,140018,0.9806,yellow_tripdata_2019-10.csv
10,,6878111,88415,82472,83300,20848,144239,0.979,yellow_tripdata_2019-11.csv
11,,6896317,89808,82561,82012,22625,145884,0.9788,yellow_tripdata_2019-12.csv
